experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,condition,method
ideal_baseline,ideal,0,17.19999999999997,0.0,0.0,0.0,-0.1877823589540327,0.4563296286936349,-0.23689393215694782,True,0.5473734369247311,24,4,0.4999999999999982,0.9999999999999964,2.008090682246278,6.195757424347141,0,1.6729885070504253,0.0004848071493329719,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,17.39999999999997,0.0,0.0,0.0,-0.2232983997328302,0.8175876781444643,0.11530207425216543,True,0.8553399061798478,24,4,0.4999999999999982,0.9999999999999964,1.9661384282885461,6.5001822176585735,0,1.679202671171804,0.0006618492351045262,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,17.59999999999997,0.0,0.0,0.0,-0.260004240894662,0.7289331892433246,0.4450298035677805,True,0.8927470670504783,24,4,0.4999999999999982,0.9999999999999964,1.62567084997845,3.0978317016285724,0,1.6761020045439459,0.0006618492351045262,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,17.79999999999997,0.0,0.0,0.0,-0.4033143444078209,1.0938042093885199,0.5928028320662929,True,1.3078552315095784,24,4,0.4999999999999982,0.9999999999999964,1.7491653823005162,3.8663060854490565,0,1.671830352896458,0.001486626446148302,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,17.999999999999968,0.0,0.0,0.0,-0.42191200465057205,0.6299773128777957,0.2883898619314929,True,0.8112027285912308,24,4,0.4999999999999982,0.9999999999999964,1.9333777662561937,4.601850544963705,0,1.6692536542560048,0.0008282397208900839,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,18.199999999999967,0.0,0.0,0.0,-0.5390357644975915,0.5157792392176159,0.29872091059906153,True,0.8036304881253188,24,4,0.4999999999999982,0.9999999999999964,1.8210630933154857,4.484288924784446,0,1.6675206089490273,0.0014577865423500789,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,18.399999999999967,0.0,0.0,0.0,-0.2966364538997503,0.2940772824257394,0.20845566537506108,True,0.4668280178482074,24,4,0.4999999999999982,0.9999999999999964,1.6920559928968713,4.403324659664948,0,1.665793439305452,0.0014577865423500789,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,18.599999999999966,0.0,0.0,0.0,-0.03345882204584549,-0.25459591934727266,-0.07499768117559846,True,0.2675130409955657,24,4,0.4999999999999982,0.9999999999999964,1.7936362926060427,4.905132325992682,0,1.6605084032859645,0.0014577865423500789,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,18.799999999999965,0.0,0.0,0.0,-0.27970840186594054,0.06461214415699555,-0.268432255515443,True,0.3930234026722466,24,4,0.4999999999999982,0.9999999999999964,1.9829475695030403,4.845668273683169,0,1.663764186871775,0.0014098787078888494,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,18.999999999999964,0.0,0.0,0.0,0.0026603819510092074,-0.6762040629059827,-0.38780278025275167,True,0.7795190880885775,24,4,0.4999999999999982,0.9999999999999964,1.8681341271431602,4.226648974792772,0,1.662758140182865,0.000956215354616151,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,19.199999999999964,0.0,0.0,0.0,0.3439262586163143,-0.42193032258937946,-0.414404300810785,True,0.6841355077882373,24,4,0.4999999999999982,0.9999999999999964,1.864252882828401,4.217666593042663,0,1.6686800706712703,0.0002800315694102442,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,19.399999999999963,0.0,0.0,0.0,0.48204013444594257,-0.8854871906615949,-0.19346399989814203,True,1.026585883060455,24,4,0.4999999999999982,0.9999999999999964,2.1142531825218,4.172061922775401,0,1.6677433367799066,0.0002800315694102442,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,19.599999999999962,0.0,0.0,0.0,0.3658968718245231,-0.6004268736311225,-0.06971866208860855,True,0.7065788301618163,24,4,0.4999999999999982,0.9999999999999964,2.2075753741709736,4.425263519142952,0,1.6698173128533118,0.0002800315694102442,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,19.79999999999996,0.0,0.0,0.0,0.27901831068401023,-0.015836585381975375,6.652360533995774e-05,True,0.2794673855012594,24,4,0.4999999999999982,0.9999999999999964,2.2628324968914204,4.433881035437925,0,1.669119952122954,0.0002800315694102442,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,19.99999999999996,0.0,0.0,0.0,0.5324223930063282,-0.21448304676319743,0.02333340127389238,True,0.5744745682259724,24,4,0.4999999999999982,0.9999999999999964,2.0637612239068477,4.176314442758939,0,1.6629315163021912,0.0002800315694102442,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,20.19999999999996,0.0,0.0,0.0,0.7453237314629657,-0.11545262118663994,0.04420188935333161,True,0.7555068361326382,24,4,0.4999999999999982,0.9999999999999964,2.0579529803909504,4.962187295921859,0,1.6737234662601435,0.0008022840077531896,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,20.39999999999996,0.0,0.0,0.0,0.4043354988143466,0.09039840969592462,0.1878322942788321,True,0.4549066265191666,24,4,0.4999999999999982,0.9999999999999964,1.8986294707573734,5.229926441109132,0,1.6689246748951332,0.0011170505703105692,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,20.59999999999996,0.0,0.0,0.0,0.2619340416916379,0.3588084970531151,-0.19424248188771084,True,0.4848537114680362,24,4,0.4999999999999982,0.9999999999999964,1.6248213555780058,5.412866715214816,0,1.6610519394914118,0.0011170505703105692,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,20.799999999999958,0.0,0.0,0.0,0.35410219702819357,0.08738869959151298,-0.14959870817086232,True,0.394214312579947,24,4,0.4999999999999982,0.9999999999999964,1.5184650464863043,5.150041739643843,0,1.6633788565268617,0.0007678517352959214,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,20.999999999999957,0.0,0.0,0.0,0.3799482228113931,-0.4262567372409086,0.0434022717470237,True,0.572659772686718,24,4,0.4999999999999982,0.9999999999999964,1.3412932638009745,4.698859783812654,0,1.661595292993428,0.0007678517352959214,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,21.199999999999957,0.0,0.0,0.0,-0.11046454388355283,-0.7510347389104699,0.2831277326244794,True,0.8101955982889549,24,4,0.4999999999999982,0.9999999999999964,1.8289799508676576,8.48624982190711,0,1.6791789208072212,0.0017825961879721858,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,21.399999999999956,0.0,0.0,0.0,-0.5525706015499288,-0.13087710614421108,0.14542771064841006,True,0.586184532066798,24,4,0.4999999999999982,0.9999999999999964,1.918158766432312,8.36072317253181,0,1.6733106250492036,0.0015304373014038948,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,21.599999999999955,0.0,0.0,0.0,-0.5405680442452856,-0.2704200555529967,0.5135040296964939,True,0.793112353591215,24,4,0.4999999999999982,0.9999999999999964,1.954185014908188,8.098746877546679,0,1.6663256742184809,0.00015136557472385752,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,21.799999999999955,0.0,0.0,0.0,-0.34700585191004835,-0.2994851610153503,0.5148726188255376,True,0.6893462385075267,24,4,0.4999999999999982,0.9999999999999964,2.1248176119024533,8.236235175971562,0,1.665187929547349,0.00015136557472385752,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,21.999999999999954,0.0,0.0,0.0,0.016225022974974895,-0.39537540127995935,0.719537932230332,True,0.8211697724746869,24,4,0.4999999999999982,0.9999999999999964,2.4039755059665784,8.369258335126348,0,1.678749640167734,0.00015136557472385752,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,22.199999999999953,0.0,0.0,0.0,-0.2247997988110154,-0.24547451421094174,0.7507786338968245,True,0.8212558942184542,24,4,0.4999999999999982,0.9999999999999964,2.2988780673376925,8.188040929708787,0,1.6783828209292837,0.00015136557472385752,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,22.399999999999952,0.0,0.0,0.0,0.22479977442894053,-0.24659051102684293,0.4980941066315708,True,0.5995327829008892,24,4,0.4999999999999982,0.9999999999999964,1.9828349985745717,6.003228892907564,0,1.691675317125298,0.0009805514717597485,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,22.59999999999995,0.0,0.0,0.0,0.18217881773216357,-0.49712277881519096,0.3647167531195226,True,0.6429140602392149,24,4,0.4999999999999982,0.9999999999999964,1.9294208591900883,6.1857382582368245,0,1.684795212938152,0.0009805514717597485,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,22.79999999999995,0.0,0.0,0.0,0.20087961653362713,-0.7637548910086849,0.21424710212934314,True,0.8182762214858784,24,4,0.4999999999999982,0.9999999999999964,1.9626719918785003,6.349985067157224,0,1.6766894528297918,0.0009805514717597485,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,22.99999999999995,0.0,0.0,0.0,0.20596966761171315,-0.6154662205104713,0.3119310940433266,True,0.720085536583391,24,4,0.4999999999999982,0.9999999999999964,1.934194593449023,6.238153078884852,0,1.6720963878511372,0.0010310385389466089,0,0,0,0,ideal,tro
ideal_baseline,ideal,0,23.19999999999995,0.0,0.0,0.0,-0.03379016810093931,-0.45069425868897967,-0.06322214576063728,True,0.4563596498268421,24,4,0.4999999999999982,0.9999999999999964,1.6501157453923678,4.2881469475051945,0,1.6691141096687938,0.000962033001937048,0,0,0,0,ideal,tro
