experiment,condition_name,run,seed,packet_loss,method,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,estimate_availability_pct,valid_estimate_count,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,final_packet_loss_count,final_duplicate_count,final_out_of_order_count,final_stale_rejected_count,network_transmitted_count,network_dropped_count,network_queued_count,network_delivered_count,network_duplicated_count,received_count,accepted_count,invalid_count,sequence_gap_count,estimated_packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,generated_messages,payload_bytes,payload_bytes_per_s,payload_kbit_per_s,stale_rejection_rate
packet_loss,loss_0.0_latest_only,18,1025,0.0,latest_only,1.7377831784888114,1.5699058402202117,1.5093563138071155,2.92252242317307,4.146178492812701,100.0,300,0,4.0,4.0,0.0,0.0,1.62170756579142,5.767721389958301,1.6962627303759616,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.0_latest_only,19,1026,0.0,latest_only,1.8914025736072777,1.7103292313332865,1.577819034800906,3.30207959275256,4.244453957674279,100.0,300,0,4.0,4.0,0.0,0.0,1.5375965835918233,5.8089025357474116,1.6910324360227322,0,0,0,0,1200,0,1200,1200,0,1200,1200,0,0,0,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,0,2007,0.05,tro_sliding_window,0.8447619288331968,0.7832359429354337,0.7528482250579593,1.2935909969864052,1.783546643765846,100.0,300,0,20.183333333333334,3.9966666666666666,0.4401064552673133,1.0,1.889700393213389,9.241842888161214,1.729827752022942,155,0,0,0,1200,78,1122,1122,0,1122,1122,0,72,77,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,1,2008,0.05,tro_sliding_window,0.8088231791745052,0.7452587818838498,0.7124895524770753,1.2868141019188448,1.8994820350541635,100.0,300,0,20.563333333333333,4.0,0.4402388420335908,1.0,1.9829277586309861,8.286144148410497,1.7252091420421678,114,0,0,0,1200,57,1143,1143,0,1143,1143,0,56,57,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,2,2009,0.05,tro_sliding_window,0.8278290088270679,0.7637578903919054,0.7355635554691222,1.3256237305899368,2.249397417211112,100.0,300,0,20.41,4.0,0.44034244125614286,1.0,1.9442713502033537,8.125672662500305,1.7267417165487196,136,0,0,0,1200,68,1132,1132,0,1132,1132,0,65,68,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,3,2010,0.05,tro_sliding_window,0.831504229324401,0.7457586364848354,0.6997150131153336,1.4000614510887799,2.1563184767871943,100.0,300,0,20.586666666666666,4.0,0.4404568037385327,1.0,1.9220043989665423,7.418964156609273,1.7122568729980572,116,0,0,0,1200,58,1142,1142,0,1142,1142,0,56,58,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,4,2011,0.05,tro_sliding_window,0.8045830703989187,0.7353750270637222,0.7066719173110738,1.290141647309058,1.7617592174683612,100.0,300,0,20.63,4.0,0.44024197432018325,1.0,1.8979835233497693,7.346529752833137,1.7157808109291455,108,0,0,0,1200,54,1146,1146,0,1146,1146,0,50,54,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,5,2012,0.05,tro_sliding_window,0.7971947062832678,0.7227233801907238,0.6672503172802687,1.2712760277031725,1.978374530667239,100.0,300,0,20.536666666666665,4.0,0.44033172421870953,1.0,1.908852606471611,7.805346594187372,1.7141464363240584,116,0,0,0,1200,58,1142,1142,0,1142,1142,0,57,58,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,6,2013,0.05,tro_sliding_window,0.8628393218219657,0.7967582200046894,0.7704595065797444,1.410566515813527,1.8766704295717564,100.0,300,0,20.64,4.0,0.4406355927730425,1.0,1.9708298106435191,9.4043206360817,1.712110512334981,108,0,0,0,1200,54,1146,1146,0,1146,1146,0,52,54,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,7,2014,0.05,tro_sliding_window,0.8040930017026695,0.7247102940336568,0.6799005152366426,1.2710208191550008,3.588573055927983,100.0,300,0,20.41,4.0,0.4403960982955482,1.0,1.9659245715299563,7.599999354050806,1.7219598461878456,132,0,0,0,1200,66,1134,1134,0,1134,1134,0,64,66,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,8,2015,0.05,tro_sliding_window,0.8375753354103385,0.7671397924015702,0.7402981559402335,1.36132818627551,1.879284476843392,100.0,300,0,20.63,4.0,0.44016957265027185,1.0,1.9207951833639287,8.441609380105646,1.7115478130379824,108,0,0,0,1200,54,1146,1146,0,1146,1146,0,52,54,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,9,2016,0.05,tro_sliding_window,0.7710445428466546,0.7013767146312259,0.6465597657433777,1.313980251501345,2.0646530316990566,100.0,300,0,20.47,3.9966666666666666,0.4400754590741385,1.0,1.8948204904130261,7.800212332992103,1.7211993171576365,125,0,0,0,1200,63,1137,1137,0,1137,1137,0,61,62,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,10,2017,0.05,tro_sliding_window,0.8370942919555214,0.7719202959533326,0.7386257034156232,1.337272504442483,2.1760812552256925,100.0,300,0,20.3,4.0,0.44010341855277774,1.0,1.9467376510974035,7.533638308957755,1.7345011820243106,146,0,0,0,1200,73,1127,1127,0,1127,1127,0,69,73,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,11,2018,0.05,tro_sliding_window,0.7976123310496543,0.7336191630815267,0.6966366425910937,1.2973311600067128,2.1243839896386656,100.0,300,0,20.49,4.0,0.4402071142743796,1.0,1.9103387438173363,7.7207598057692275,1.7224046676742208,122,0,0,0,1200,61,1139,1139,0,1139,1139,0,56,61,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,12,2019,0.05,tro_sliding_window,0.8148140849930844,0.7512920519407223,0.7194444662186642,1.2895656611474298,2.008874295999066,100.0,300,0,20.656666666666666,4.0,0.44036121099203795,1.0,1.9575977286423456,8.086308644037155,1.713448448947194,106,0,0,0,1200,53,1147,1147,0,1147,1147,0,50,53,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,13,2020,0.05,tro_sliding_window,0.7465989837968358,0.6810051752609746,0.6358029451134992,1.217381690356398,1.5265081049311595,100.0,300,0,20.433333333333334,4.0,0.44060174403950325,1.0,1.882693128242048,6.640670466437739,1.723151374504687,131,0,0,0,1200,66,1134,1134,0,1134,1134,0,62,65,0,0,0,1200,64,1280.0,10.24,0.0
packet_loss,loss_0.05_tro_sliding_window,14,2021,0.05,tro_sliding_window,0.7908553164816798,0.7219068784900067,0.6993745081679172,1.257860981633645,1.8742857062714182,100.0,300,0,20.743333333333332,4.0,0.44033322339568653,1.0,1.8464376670834493,7.593610260632661,1.709023125220846,96,0,0,0,1200,48,1152,1152,0,1152,1152,0,45,48,0,0,0,1200,64,1280.0,10.24,0.0
