experiment,condition_name,run,time_s,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,estimate_z_m,valid_estimate,localization_error_m,active_rays,contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,gated_rejected_observations,condition_number,geometry_quality,packet_loss_count,duplicate_count,out_of_order_count,stale_rejected_count,rate_case,method
heterogeneous_rates,equal_5hz,0,34.199999999999946,68.39999999999989,17.099999999999973,0.0,66.43328385389732,16.671145044462385,-0.731504127494364,True,2.1417253000258887,15,4,0.49333333333334034,0.8000000000000114,2.564264820118494,5.388468837664226,0,1.6922491113583098,0.0029237109950894288,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,34.39999999999995,68.7999999999999,17.199999999999974,0.0,67.52376723481551,17.472581246298947,-0.9462334872115148,True,1.6119641494414685,15,4,0.4800000000000068,0.8000000000000114,1.9736762503426564,3.347048509012129,0,1.6827842193170586,0.0029237109950894288,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,34.59999999999995,69.1999999999999,17.299999999999976,0.0,68.60059855327484,17.414471237988217,-0.5726808479235923,True,0.836868634996646,16,4,0.5000000000000071,0.8000000000000114,1.9487225212498636,5.3458856275681255,0,1.7258960309263522,0.0029237109950894288,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,34.799999999999955,69.59999999999991,17.399999999999977,0.0,69.0774092196876,17.95989981321492,-0.15916620337266296,True,0.782254948723004,16,4,0.5000000000000071,0.8000000000000114,1.5712036628072328,4.69230928648851,0,1.7353884356370928,0.0018336350246275315,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,34.99999999999996,69.99999999999991,17.49999999999998,0.0,69.22829046772817,17.96957134296757,0.2391023441186326,True,0.9344531980246434,16,4,0.5000000000000071,0.8000000000000114,1.3672223502135492,4.2717916600675,0,1.7424604193723459,0.0018336350246275315,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,35.19999999999996,70.39999999999992,17.59999999999998,0.0,69.64132132032555,17.37363263996943,0.18827972781912788,True,0.8138088083741164,16,4,0.5000000000000071,0.8000000000000114,1.50226679348964,4.241850518696921,0,1.7340993736675145,0.0021296312377012787,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,35.39999999999996,70.79999999999993,17.69999999999998,0.0,70.0783210708451,17.285901259898534,-0.02476309700560869,True,0.8324130310807024,16,4,0.5000000000000071,0.8000000000000114,1.570212119715914,3.202128816470143,0,1.741470265639261,0.0017766527901878178,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,35.599999999999966,71.19999999999993,17.799999999999983,0.0,70.50338375562444,17.1138306703775,-0.04060150813354831,True,0.978647548050421,16,4,0.5000000000000071,0.8000000000000114,1.4384462209380342,2.8650655597975025,0,1.737025952671601,0.0007385574293721898,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,35.79999999999997,71.59999999999994,17.899999999999984,0.0,71.1341900715752,16.785640241552667,0.03247180599268986,True,1.2082346538856787,16,4,0.5000000000000071,0.8000000000000114,1.3002547117352798,2.3248165789625705,0,1.737240896789369,0.0007385574293721898,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,35.99999999999997,71.99999999999994,17.999999999999986,0.0,71.41239253653535,17.19866956392798,0.232830256502567,True,1.0205992980781915,16,4,0.5000000000000071,0.8000000000000114,1.3398421918966625,2.068936650691823,0,1.7501424843279423,0.002154090249540246,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,36.199999999999974,72.39999999999995,18.099999999999987,0.0,70.8586862863592,17.176903459901737,0.13665108157535438,True,1.8017848662629246,16,4,0.5000000000000071,0.8000000000000114,1.3853568018677154,2.6084250026677656,0,1.7465809017990788,0.001924998663182405,139,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,36.39999999999998,72.79999999999995,18.19999999999999,0.0,71.68782814621372,17.372260902729337,0.14768276198530514,True,1.394233998901316,16,4,0.5000000000000071,0.8000000000000114,1.4977004121999165,3.791512533500209,0,1.7546334127986454,0.001807896404302408,141,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,36.59999999999998,73.19999999999996,18.29999999999999,0.0,71.74492436594589,17.749894075383214,0.20977978480670229,True,1.5696716813492797,14,4,0.5428571428571506,0.8000000000000114,1.5170180995148912,3.931224838023835,0,1.9720755421748295,0.001807896404302408,141,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,36.79999999999998,73.59999999999997,18.39999999999999,0.0,72.61159103072609,18.74234441414964,-0.03834447447941332,True,1.046719774898523,14,4,0.5142857142857216,0.8000000000000114,2.0300119789060744,4.973952381016604,0,1.9510966389628184,0.0026134414942787843,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,36.999999999999986,73.99999999999997,18.499999999999993,0.0,74.16717781603285,19.397405230011397,-0.348579299105316,True,0.9771346359586776,14,4,0.4857142857142926,0.8000000000000114,1.7922243270098053,4.513414922609403,0,1.9595628108489165,0.0022414681203014987,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,37.19999999999999,74.39999999999998,18.599999999999994,0.0,74.13542370884927,20.249161742767573,-0.22015525766266197,True,1.684696828846001,14,4,0.4571428571428636,0.8000000000000114,2.073399104132932,3.8938481947927217,0,1.9697300242954863,0.0012200633061876193,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,37.39999999999999,74.79999999999998,18.699999999999996,0.0,74.4823477361308,20.190710892215243,-0.11424348977427368,True,1.5284546116473978,16,4,0.5000000000000071,0.8000000000000114,1.9613727248335984,4.034471139303485,0,1.755821025243148,0.0012200633061876193,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,37.599999999999994,75.19999999999999,18.799999999999997,0.0,75.47279623155042,19.57954934209601,0.101477339094986,True,0.8321133402729696,16,4,0.5000000000000071,0.8000000000000114,1.8802372788628123,4.829251942057003,0,1.783713667335717,0.0036791778023923037,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,37.8,75.6,18.9,0.0,75.56624180622268,19.134333802038896,0.19856596404263172,True,0.3089990105183049,16,4,0.5000000000000071,0.8000000000000114,1.7109318703093999,5.287825455789224,0,1.7669289358792821,0.0025327557585264025,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,38.0,76.0,19.0,0.0,75.93880052717118,18.689398741289885,0.044386769358197006,True,0.3196696774498493,16,4,0.5000000000000071,0.8000000000000114,1.250954122386505,2.388132935870822,0,1.7650490633549387,0.0007894380622925778,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,38.2,76.4,19.1,0.0,75.82978532639207,19.06580799339344,-0.4244602410358813,True,0.7116743381166881,16,4,0.5000000000000071,0.8000000000000114,1.428530160899309,2.923987020762332,0,1.7724308694576554,0.0007894380622925778,143,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,38.400000000000006,76.80000000000001,19.200000000000003,0.0,74.98223635012013,18.912694725812187,0.0163420704023723,True,1.8404010624496474,16,4,0.5000000000000071,0.8000000000000114,1.7778854204620504,6.33036510307744,0,1.73792812647948,0.0005656123827321094,144,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,38.60000000000001,77.20000000000002,19.300000000000004,0.0,74.73020765397631,19.148361615115,0.1103432117567578,True,2.4769021088102425,15,4,0.5200000000000073,0.8000000000000114,1.7989639278813963,6.108330387353709,0,1.858384212387637,0.00039877802181804067,145,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,38.80000000000001,77.60000000000002,19.400000000000006,0.0,75.07651988235777,18.88639582252967,0.10772499683554645,True,2.5774688805481136,14,4,0.5285714285714361,0.8000000000000114,1.8197363138572917,6.281359647846515,0,1.948056536538097,0.00039877802181804067,146,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,39.000000000000014,78.00000000000003,19.500000000000007,0.0,75.58085038132735,18.3310086400376,0.13148624853844526,True,2.690002659988579,14,4,0.5000000000000071,0.8000000000000114,1.8787417839005585,6.604205748827688,0,1.9400162411077546,0.00039877802181804067,148,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,39.20000000000002,78.40000000000003,19.60000000000001,0.0,76.57352815602133,18.318530678712513,-0.7422176247567113,True,2.35139320845058,13,4,0.49230769230769933,0.8000000000000114,1.5373973982651168,2.891410218159536,0,1.8220590171881423,0.0015605746758049538,148,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,39.40000000000002,78.80000000000004,19.70000000000001,0.0,77.99530728187025,18.707137573414904,-0.5704375241040411,True,1.3995374727535936,14,4,0.4857142857142926,0.8000000000000114,1.7435101268170023,4.869541139485695,0,1.724861616486014,0.0015822065893106604,149,0,0,0,equal_5hz,tro
heterogeneous_rates,equal_5hz,0,39.60000000000002,79.20000000000005,19.80000000000001,0.0,78.77941049717523,18.709723736629485,-0.45855978371893513,True,1.2553385740906617,15,4,0.49333333333334034,0.8000000000000114,1.8497022090753568,4.16426297906304,0,1.6789529541476516,0.0030914224526109968,150,0,0,0,equal_5hz,tro
