experiment_name,condition_name,method,run,seed,target_speed,uav_rates,fusion_rate,packet_loss,delay,bearing_noise_deg,position_noise_m,sync_tolerance_s,sliding_window_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,availability_percent,valid_estimates,invalid_fusion_cycles,mean_active_rays,mean_contributing_uavs,mean_observation_age_s,max_observation_age_s,mean_residual_m,max_residual_m,mean_condition_number,packet_loss_count,stale_rejected_count,duplicate_count,out_of_order_count,monte_carlo_runs
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,1,10008,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.930508473661928,4.205529273817334,3.3306503433682506,9.12377508972163,11.590752665345049,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.087754523219282,3.61414327385993,10.857793172988389,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,2,10009,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.3794442989571465,4.535477954810906,4.0971695519257905,9.526837353472882,14.724359071166111,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.137509185330714,5.005507925386057,10.809147547120999,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,3,10010,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.468828947086888,3.8148921981677257,3.0634793507060794,8.114511238676414,8.881193250489446,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.0344390548325255,4.136137099593278,10.808407463027482,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,4,10011,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.637239749248197,4.090897119822974,3.5237191171861144,7.686353082481632,10.720928605419864,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,0.9255142508467237,4.511700792122914,10.811420826336049,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,5,10012,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.708721298054793,4.885014685742628,4.092523533240564,11.386392832693646,13.100803968131604,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1465219356022933,5.296514638448921,10.804829298236495,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,6,10013,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.931607561025861,4.053304121843454,3.4002838911373803,9.744974696680188,15.257629749440609,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.28697525778296,3.6556086155282337,10.796259445288245,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,7,10014,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.056944024997257,4.219387500937029,3.4351324684405125,8.168641993604925,16.72923868351296,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1196612007831526,3.1807065341519927,10.87619404542055,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,8,10015,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.800045596646362,4.13544141981997,3.3432841416060834,9.18323928010161,9.794545027832827,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.1777187515132388,5.984395714063089,10.795077014480173,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,9,10016,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,5.081155691912784,4.327222818296281,4.144595747989465,9.063448028798154,13.715801413262998,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.054652938576188,3.3752298838388723,10.743022625800263,0,0,0,0,20
1B_heterogeneous_update_rates,heterogeneous_speed_0,synchronized_bearing_fusion,10,10017,0.0,10;5;2;1,5.0,0.0,0.0,0.5,1.0,0.05,0.5,4.90336080241508,4.202749681203586,3.500822629383771,8.991769627367663,11.808993631238758,20.0,60,240,1.2,1.2,0.002999999999862919,0.030000000000299565,1.2029001251820084,5.301035196659977,10.899878742626216,0,0,0,0,20
